post_id,row_index,lat,lon,lat_header,lon_header,city,state,country,country_code,display_name
671,225,50.112313451247,-116.71875,Project main location.lat__2,Project main location.lon__2,Area D (Lardeau Valley/Duncan Lake),British Columbia,Canada,CA,"Area D (Lardeau Valley/Duncan Lake), Regional District of Central Kootenay, British Columbia, Canada"
671,225,50.101863421449,-116.71875,Additional project location.lat__2,Project main location.lon__2,Area D (Lardeau Valley/Duncan Lake),British Columbia,Canada,CA,"Area D (Lardeau Valley/Duncan Lake), Regional District of Central Kootenay, British Columbia, Canada"
672,226,50.112313451247,-116.71875,Project main location.lat__2,Project main location.lon__2,Area D (Lardeau Valley/Duncan Lake),British Columbia,Canada,CA,"Area D (Lardeau Valley/Duncan Lake), Regional District of Central Kootenay, British Columbia, Canada"
673,227,-2.9814344,23.8222636,Project main location.lat__2,Project main location.lon__2,,Sankuru,Democratic Republic of the Congo,CD,"Sankuru, Democratic Republic of the Congo"
673,227,26.2540493,23.8222636,Additional project location.lat__2,Project main location.lon__2,,Kufra,Libya,LY,"Kufra, Libya"
674,228,50.112313451247,-116.71875,Project main location.lat__2,Project main location.lon__2,Area D (Lardeau Valley/Duncan Lake),British Columbia,Canada,CA,"Area D (Lardeau Valley/Duncan Lake), Regional District of Central Kootenay, British Columbia, Canada"
675,229,6.130419,1.215829,Project main location.lat__2,Project main location.lon__2,Lomé,Maritime Region,Togo,TG,"Lomé, Maritime Region, Togo"
675,229,50.112313451247,1.215829,Additional project location.lat__2,Project main location.lon__2,,,France,FR,"Metropolitan France, France"
676,230,12.4670756,-3.4591436,Project main location.lat__2,Project main location.lon__2,Dédougou,,Burkina Faso,BF,"Dédougou, Mouhoun, Boucle du Mouhoun, Burkina Faso"
677,231,7.1405174027634,37.177047729492,Project main location.lat__2,Project main location.lon__2,,South West Ethiopia Peoples,Ethiopia,ET,"Dawro, South West Ethiopia Peoples, Ethiopia"
677,231,50.112313451247,37.177047729492,Additional project location.lat__2,Project main location.lon__2,,Kharkiv Oblast,Ukraine,UA,"Великобурлуцька селищна громада, Kupiansk Raion, Kharkiv Oblast, Ukraine"
678,232,50.112313451247,-116.71875,Project main location.lat__2,Project main location.lon__2,Area D (Lardeau Valley/Duncan Lake),British Columbia,Canada,CA,"Area D (Lardeau Valley/Duncan Lake), Regional District of Central Kootenay, British Columbia, Canada"
679,233,6.4516197955334,2.3521041870117,Project main location.lat__2,Project main location.lon__2,Abomey-Calavi,Atlantique Department,Benin,BJ,"Abomey-Calavi, Atlantique Department, Benin"
679,233,50.112313451247,2.3521041870117,Additional project location.lat__2,Project main location.lon__2,Beauval,Hauts-de-France,France,FR,"Beauval, Amiens, Somme, Hauts-de-France, Metropolitan France, 80630, France"
680,234,1.4419683,38.4313975,Project main location.lat__2,Project main location.lon__2,Merti,Isiolo,Kenya,KE,"Merti, Isiolo, Kenya"
680,234,50.112313451247,38.4313975,Additional project location.lat__2,Project main location.lon__2,Вейделевский муниципальный округ,Belgorod Oblast,Russia,RU,"Вейделевский муниципальный округ, Belgorod Oblast, Central Federal District, Russia"
681,235,50.112313451247,-116.71875,Project main location.lat__2,Project main location.lon__2,Area D (Lardeau Valley/Duncan Lake),British Columbia,Canada,CA,"Area D (Lardeau Valley/Duncan Lake), Regional District of Central Kootenay, British Columbia, Canada"
682,236,8.495462762626,-13.246765136719,Project main location.lat__2,Project main location.lon__2,Freetown,Western Area Urban,Sierra Leone,SL,"Freetown, Western Area Urban, Western Area, Sierra Leone"
682,236,50.112313451247,-13.246765136719,Additional project location.lat__2,Project main location.lon__2,,,,,
683,237,50.112313451247,-116.71875,Project main location.lat,Project main location.lon,Area D (Lardeau Valley/Duncan Lake),British Columbia,Canada,CA,"Area D (Lardeau Valley/Duncan Lake), Regional District of Central Kootenay, British Columbia, Canada"
684,238,-4.03863355,39.648547578884,Project main location.lat,Project main location.lon,Mombasa,Mombasa County,Kenya,KE,"Mombasa, Tononoka ward, Mvita, Mombasa County, 80100, Kenya"
684,238,-1.30261485,39.648547578884,Additional project location.lat,Project main location.lon,Galole,Tana River County,Kenya,KE,"Galole, Tana River County, 70101, Kenya"
684,238,-0.06040135,39.648547578884,Additional project location 2.lat,Project main location.lon,Garissa Township,Garissa,Kenya,KE,"Garissa Township, Garissa, Kenya"
685,239,19.725342248058,-99.6240234375,Project main location.lat__2,Project main location.lon__2,Santa Clara de Juárez,State of Mexico,Mexico,MX,"Santa Clara de Juárez, Morelos, State of Mexico, 50560, Mexico"
685,239,39.909736234537,-99.6240234375,Additional project location.lat__2,Project main location.lon__2,Phillips County,Kansas,United States,US,"Phillips County, Kansas, United States"
